Year,District,Area,Zone,Population,Water_Demand_MLD,Water_Supply_MLD,Supply_Coverage_Percent,Water_Quality_Index,pH,TDS_ppm,Residual_Chlorine_mgL,Turbidity_NTU,Groundwater_Level_m_bgl,Rainfall_mm,Leakage_Percent,Non_Revenue_Water_Percent,Complaint_Count,Pipeline_Length_km,Treatment_Plant,Water_Source,Water_Quality_Status,Priority_Level
2020,Central Delhi,Rani Jhansi Rd,Central,83384,16.78,14.9,88.8,82.5,8,444,0.64,1.2,19.7,737,22.8,28.1,161,37,Wazirabad,Groundwater,Moderate,Medium
2021,Central Delhi,Rani Jhansi Rd,Central,84948,17.65,15.26,86.4,83.6,7.7,512,0.54,2.2,20,499,22.2,30,172,37,Bhagirathi,Ganga Canal,Moderate,Medium
2022,Central Delhi,Rani Jhansi Rd,Central,86341,18.42,16.87,91.6,84.8,7.4,342,0.25,1,20.2,781,21.2,25.1,136,37,Okhla,Ganga Canal,Moderate,Medium
2023,Central Delhi,Rani Jhansi Rd,Central,87972,19.3,17.9,92.8,86,8.1,438,0.45,0.4,20.7,860,20.3,26.1,120,37,Wazirabad,Ganga Canal,Moderate,Low
2024,Central Delhi,Rani Jhansi Rd,Central,89528,19.01,17.66,92.9,86.6,8.1,182,0.44,0.5,21.1,851,19.8,22.9,128,37,Wazirabad,Yamuna,Moderate,Low
2025,Central Delhi,Rani Jhansi Rd,Central,90759,19.64,18.36,93.5,87.7,7.2,242,0.51,1.4,21.3,974,19.2,22.4,125,37,Wazirabad,Yamuna,Moderate,Low
2014,Central Delhi,Ajmeri Gate,Central,77411,16.99,13.65,80.3,77.9,7.1,501,0.74,1.6,14.2,577,27.6,32.3,226,21,Bhagirathi,Groundwater,Poor,High
2015,Central Delhi,Ajmeri Gate,Central,78638,15.32,12.68,82.8,78.9,8.1,261,0.71,1,14.4,474,26.6,34.1,200,21,Bawana,Ganga Canal,Poor,High
2016,Central Delhi,Ajmeri Gate,Central,79820,17.18,14.47,84.2,80.4,7.5,293,0.44,1.9,14.9,937,26.1,29.2,206,21,Bawana,Yamuna,Moderate,High
2017,Central Delhi,Ajmeri Gate,Central,80847,16.06,13.35,83.1,81.9,7.6,351,0.43,1.2,15.2,437,25.4,28.7,195,21,Wazirabad,Ganga Canal,Moderate,High
2018,Central Delhi,Ajmeri Gate,Central,82484,16.9,14.16,83.8,82.9,7,520,0.68,0.8,15.6,625,24.6,28.3,193,21,Chandrawal,Ganga Canal,Moderate,High
2019,Central Delhi,Ajmeri Gate,Central,83923,18.47,15.92,86.2,84.2,7.9,290,0.43,2.4,15.8,908,23.6,27.6,177,21,Bhagirathi,Groundwater,Moderate,Medium
2020,Central Delhi,Ajmeri Gate,Central,85101,18.89,16.6,87.9,85.4,7.5,306,0.51,0.6,16.3,697,22.8,29.5,170,21,Okhla,Groundwater,Moderate,Medium
2021,Central Delhi,Ajmeri Gate,Central,86200,19.07,17.04,89.3,86,7.9,379,0.62,2,16.5,824,21.8,25.9,140,21,Chandrawal,Groundwater,Moderate,Medium
2022,Central Delhi,Ajmeri Gate,Central,88002,17.04,15.55,91.3,87.3,7.3,295,0.69,1.2,17,942,21.1,25.9,128,21,Bawana,Ganga Canal,Moderate,Medium
2023,Central Delhi,Ajmeri Gate,Central,89740,19.8,18.26,92.2,88.7,7,391,0.62,1.3,17.3,565,20.5,28.5,129,21,Bhagirathi,Ganga Canal,Good,Low
2024,Central Delhi,Ajmeri Gate,Central,91629,17.79,16.22,91.2,90.2,7,387,0.3,0.7,17.7,707,19.5,24,121,21,Bhagirathi,Groundwater,Good,Medium
2025,Central Delhi,Ajmeri Gate,Central,92764,18.63,17.47,93.8,91.3,8.1,310,0.6,1.6,18,613,18.8,26.5,118,21,Wazirabad,Groundwater,Good,Low
2014,Central Delhi,Mandir Marg,Central,73704,16.31,12.75,78.1,81.5,7.8,393,0.44,1.9,17.6,756,28.7,35.9,237,21,Haiderpur,Groundwater,Moderate,High
2015,Central Delhi,Mandir Marg,Central,74654,17.28,13.98,80.9,82.8,7.5,500,0.23,1.8,18.1,778,27.7,32.8,235,21,Dwarka,Yamuna,Moderate,High
2016,Central Delhi,Mandir Marg,Central,75915,15.23,12.83,84.2,83.5,7.3,458,0.78,0.7,18.5,697,27.1,31.8,200,21,Wazirabad,Yamuna,Moderate,High
2017,Central Delhi,Mandir Marg,Central,77309,15.33,12.93,84.3,84.7,7.2,407,0.58,1.8,18.8,928,26.4,30.1,205,21,Okhla,Yamuna,Moderate,High
2018,Central Delhi,Mandir Marg,Central,78690,15.89,13.56,85.3,85.8,8.2,486,0.7,1.2,19,550,25.4,29.4,183,21,Okhla,Ganga Canal,Moderate,Medium
2019,Central Delhi,Mandir Marg,Central,79644,16.8,14.14,84.2,86.7,7.4,262,0.48,1.1,19.3,717,24.8,28.6,187,21,Wazirabad,Yamuna,Moderate,High
2020,Central Delhi,Mandir Marg,Central,80608,18.49,16.31,88.2,88,7.8,235,0.77,1.4,19.8,515,24.1,31,165,21,Haiderpur,Yamuna,Moderate,Medium
2021,Central Delhi,Mandir Marg,Central,81864,16.01,14.02,87.5,89.2,8,382,0.38,0.7,20.2,687,23.5,29.7,158,21,Bawana,Groundwater,Good,Medium
2022,Central Delhi,Mandir Marg,Central,82984,18.29,16.63,90.9,90.1,7.2,368,0.75,2.1,20.5,764,22.6,26.8,141,21,Wazirabad,Yamuna,Good,Medium
2023,Central Delhi,Mandir Marg,Central,84068,18.54,17.15,92.5,91.5,8.2,260,0.56,1.7,20.8,842,21.4,25.1,135,21,Chandrawal,Yamuna,Good,Low
2024,Central Delhi,Mandir Marg,Central,85193,18.25,16.72,91.6,92.9,7,181,0.57,2.1,21.1,470,20.6,26.1,133,21,Chandrawal,Ganga Canal,Good,Medium
2025,Central Delhi,Mandir Marg,Central,86276,16.7,15.71,94,93.5,7.5,264,0.2,2.1,21.6,776,20.1,26.4,110,21,Dwarka,Yamuna,Good,Low
2014,Central Delhi,Old Delhi,Central,76710,17.4,14.25,81.9,76.6,7.4,517,0.54,2.4,11.1,513,28.1,33.5,229,52,Okhla,Yamuna,Poor,High
2015,Central Delhi,Old Delhi,Central,77860,16.05,13.28,82.7,77.9,7.8,255,0.42,1.6,11.5,458,27.4,32.5,205,52,Dwarka,Yamuna,Poor,High
2016,Central Delhi,Old Delhi,Central,79234,16.45,13.3,80.9,79.4,7.8,309,0.31,1.8,11.9,614,26.8,33.3,218,52,Chandrawal,Groundwater,Poor,High
2017,Central Delhi,Old Delhi,Central,80547,17.12,14.45,84.4,80.8,7.2,405,0.5,1.4,12.4,955,25.9,33.1,189,52,Wazirabad,Groundwater,Moderate,High
2018,Central Delhi,Old Delhi,Central,82311,17.98,14.96,83.2,81.9,7.2,227,0.67,0.4,12.6,831,24.7,28.9,204,52,Haiderpur,Yamuna,Moderate,High
2019,Central Delhi,Old Delhi,Central,83311,17.78,15.09,84.9,82.6,8.2,498,0.32,0.6,13.1,737,24.1,30.7,179,52,Haiderpur,Yamuna,Moderate,High
2020,Central Delhi,Old Delhi,Central,84616,18.76,16.59,88.4,84,7.9,362,0.23,1.6,13.4,441,23.5,27,169,52,Dwarka,Ganga Canal,Moderate,Medium
2021,Central Delhi,Old Delhi,Central,86310,16.87,15.2,90.1,84.8,7.1,405,0.21,0.5,13.8,678,22.9,29.9,158,52,Chandrawal,Yamuna,Moderate,Medium
2022,Central Delhi,Old Delhi,Central,87824,17.68,15.97,90.3,86.1,7,407,0.41,0.6,14,819,22,27.5,143,52,Bawana,Yamuna,Moderate,Medium
2023,Central Delhi,Old Delhi,Central,89580,17.23,15.43,89.5,87.5,7.3,381,0.77,1.4,14.4,831,20.8,25.6,149,52,Dwarka,Yamuna,Moderate,Medium
2024,Central Delhi,Old Delhi,Central,90933,17.76,16.43,92.5,88.3,7.5,419,0.41,0.3,14.8,646,20,25.9,133,52,Haiderpur,Yamuna,Good,Low
2025,Central Delhi,Old Delhi,Central,92042,18.95,18.03,95.1,89.4,7.1,319,0.79,1.1,15,476,19,24.9,107,52,Dwarka,Yamuna,Good,Low
2014,East Delhi,Preet Vihar,East,39364,9.99,7.94,79.5,74.3,7.4,216,0.66,1.9,17.7,718,25.3,30.9,218,45,Okhla,Yamuna,Poor,High
2015,East Delhi,Preet Vihar,East,39974,9.85,7.96,80.8,75.5,7.4,437,0.35,0.8,18.1,491,24.4,29.1,217,45,Chandrawal,Yamuna,Poor,High
2016,East Delhi,Preet Vihar,East,40456,10.9,8.96,82.2,76.5,7.2,213,0.63,0.9,18.6,886,23.3,29.2,207,45,Okhla,Ganga Canal,Poor,High
2017,East Delhi,Preet Vihar,East,40971,8.95,7.63,85.3,77.3,8,214,0.39,0.7,18.9,613,22.6,30.1,181,45,Dwarka,Yamuna,Poor,Medium
2018,East Delhi,Preet Vihar,East,41773,10.4,8.71,83.7,78.1,8,324,0.59,0.7,19.2,450,21.8,28.5,193,45,Chandrawal,Groundwater,Poor,High
2019,East Delhi,Preet Vihar,East,42294,8.83,7.71,87.3,79.4,7.8,187,0.75,0.8,19.5,779,21.3,25.9,171,45,Okhla,Yamuna,Poor,Medium
2020,East Delhi,Preet Vihar,East,43075,9.97,8.77,87.9,80.1,7.7,500,0.67,2.5,19.9,775,20.2,25.2,145,45,Bhagirathi,Yamuna,Moderate,Medium
2021,East Delhi,Preet Vihar,East,43602,9.8,8.72,89,80.8,7.1,260,0.29,0.6,20.3,750,19.3,26.1,142,45,Wazirabad,Ganga Canal,Moderate,Medium
2022,East Delhi,Preet Vihar,East,44480,10.28,9.23,89.8,82,8,312,0.49,0.4,20.6,587,18.3,24.6,143,45,Okhla,Groundwater,Moderate,Medium
2023,East Delhi,Preet Vihar,East,45448,10.54,9.48,89.9,83,7.1,423,0.69,2.4,20.9,965,17.6,21.4,138,45,Okhla,Yamuna,Moderate,Medium
2024,East Delhi,Preet Vihar,East,46175,12.25,11.48,93.7,83.8,8.1,312,0.42,0.6,21.2,567,16.8,20.6,99,45,Okhla,Yamuna,Moderate,Low
2025,East Delhi,Preet Vihar,East,46973,10.51,9.88,94,85.2,7.6,379,0.39,2.3,21.6,882,15.9,19.4,100,45,Okhla,Yamuna,Moderate,Low
2014,East Delhi,Laxmi Nagar,East,30927,8.26,6.58,79.6,82.6,7.3,190,0.46,0.8,16.7,814,29.8,33.8,239,40,Bawana,Ganga Canal,Moderate,High
2015,East Delhi,Laxmi Nagar,East,31496,7.56,6.29,83.2,84.1,8,249,0.37,1,17.1,651,28.7,34.2,213,40,Chandrawal,Yamuna,Moderate,High
2016,East Delhi,Laxmi Nagar,East,31974,8.59,7.24,84.2,85.2,7.9,203,0.72,0.7,17.3,647,27.6,35,206,40,Haiderpur,Groundwater,Moderate,High
2017,East Delhi,Laxmi Nagar,East,32365,7.16,6.12,85.5,85.9,7.9,229,0.48,1.2,17.7,439,26.9,32,195,40,Okhla,Groundwater,Moderate,Medium
2018,East Delhi,Laxmi Nagar,East,32985,9.58,8.31,86.7,87,7.2,199,0.56,1.6,18.1,463,26.3,32.8,174,40,Okhla,Yamuna,Moderate,Medium
2019,East Delhi,Laxmi Nagar,East,33396,9.69,8.16,84.3,87.7,7.2,181,0.61,0.6,18.3,542,25.4,32.1,199,40,Dwarka,Yamuna,Moderate,High
2020,East Delhi,Laxmi Nagar,East,33973,9.63,8.57,89,88.7,7.3,217,0.31,0.9,18.8,509,24.8,28.1,161,40,Wazirabad,Yamuna,Good,Medium
2021,East Delhi,Laxmi Nagar,East,34553,8.44,7.48,88.6,89.5,7.3,458,0.4,1.2,19,801,24.1,32,168,40,Okhla,Groundwater,Good,Medium
2022,East Delhi,Laxmi Nagar,East,35060,8.58,7.7,89.8,91,8.1,253,0.58,0.8,19.3,822,23.3,28.8,157,40,Haiderpur,Groundwater,Good,Medium
2023,East Delhi,Laxmi Nagar,East,35694,8.56,7.68,89.8,92.2,7.5,205,0.54,1.8,19.7,633,22.7,27.9,143,40,Okhla,Ganga Canal,Good,Medium
2024,East Delhi,Laxmi Nagar,East,36284,9.26,8.51,91.9,93.2,7.9,502,0.72,1.1,20.2,911,21.8,25.1,132,40,Dwarka,Ganga Canal,Good,Medium
2025,East Delhi,Laxmi Nagar,East,36941,9.68,8.95,92.5,94.7,7.6,358,0.49,0.8,20.5,658,20.8,24.5,133,40,Bawana,Groundwater,Good,Low
2014,East Delhi,Mayur Vihar,East,36099,7.96,6.42,80.6,78.5,7.5,344,0.7,2.1,14.7,611,31.1,34.7,231,33,Chandrawal,Groundwater,Poor,High
2015,East Delhi,Mayur Vihar,East,36622,7.9,6.37,80.6,79.5,8.2,328,0.62,1.3,14.9,965,30.2,35.6,239,33,Bawana,Yamuna,Poor,High
2016,East Delhi,Mayur Vihar,East,37339,8.17,6.79,83.1,80.6,8,354,0.35,1.5,15.3,805,29.3,32.3,224,33,Haiderpur,Yamuna,Moderate,High
2017,East Delhi,Mayur Vihar,East,38007,8.76,7.34,83.8,81.4,7.6,505,0.25,0.6,15.6,761,28.6,36.4,217,33,Haiderpur,Groundwater,Moderate,High
2018,East Delhi,Mayur Vihar,East,38759,10.74,9.2,85.7,82.3,7.8,400,0.69,1.1,15.9,814,27.6,32.5,199,33,Dwarka,Yamuna,Moderate,Medium
2019,East Delhi,Mayur Vihar,East,39582,8.7,7.65,87.9,83,7.5,408,0.52,1.4,16.4,811,26.9,34.5,172,33,Bawana,Yamuna,Moderate,Medium
2020,East Delhi,Mayur Vihar,East,40099,9.91,8.81,88.9,84,7.6,383,0.51,2.1,16.8,876,26.1,32.5,174,33,Okhla,Yamuna,Moderate,Medium
2021,East Delhi,Mayur Vihar,East,40741,8.46,7.54,89.1,85.2,7.7,219,0.21,1.4,17.1,768,25.1,32.3,162,33,Chandrawal,Groundwater,Moderate,Medium
2022,East Delhi,Mayur Vihar,East,41414,10.93,9.66,88.4,86.3,7.2,478,0.44,0.4,17.5,773,24.5,30.7,170,33,Haiderpur,Ganga Canal,Moderate,Medium
2023,East Delhi,Mayur Vihar,East,41989,11.5,10.3,89.5,87.3,7.5,464,0.73,1.8,17.8,711,24,28.5,157,33,Chandrawal,Ganga Canal,Moderate,Medium
2024,East Delhi,Mayur Vihar,East,42829,11.28,10.27,91,88.1,7.6,516,0.55,1.1,18.2,636,23.3,30.3,151,33,Chandrawal,Ganga Canal,Good,Medium
2025,East Delhi,Mayur Vihar,East,43736,10.54,9.63,91.4,88.7,7.3,198,0.68,0.9,18.7,751,22.8,29.3,142,33,Bawana,Groundwater,Good,Medium
2014,East Delhi,Geeta Colony,East,37383,9.03,7.27,80.6,80,7,272,0.63,1.9,13.7,480,24.9,28.7,221,31,Chandrawal,Groundwater,Moderate,High
2015,East Delhi,Geeta Colony,East,38100,10.1,8.32,82.4,81.4,7.1,444,0.26,2,14.2,977,24.3,32.1,198,31,Bhagirathi,Yamuna,Moderate,High
2016,East Delhi,Geeta Colony,East,38808,8.76,7.36,84,82.1,8,261,0.38,0.8,14.6,864,23.8,29.7,181,31,Haiderpur,Groundwater,Moderate,High
2017,East Delhi,Geeta Colony,East,39491,8.57,7.31,85.2,83.2,8.2,380,0.4,0.6,15.1,762,23.1,27.6,178,31,Okhla,Groundwater,Moderate,Medium
2018,East Delhi,Geeta Colony,East,40239,8.84,7.37,83.4,84.2,7.8,242,0.33,1.7,15.3,618,22.2,27.8,189,31,Wazirabad,Ganga Canal,Moderate,High
2019,East Delhi,Geeta Colony,East,40919,8.42,7.34,87.1,85,7.9,456,0.32,1.3,15.6,525,21.5,28.3,171,31,Bawana,Yamuna,Moderate,Medium
2020,East Delhi,Geeta Colony,East,41646,9.4,8.23,87.5,86.4,7.2,205,0.41,1.4,16.1,533,20.7,25.4,156,31,Haiderpur,Yamuna,Moderate,Medium
2021,East Delhi,Geeta Colony,East,42191,11.09,9.94,89.6,87.1,7.6,381,0.22,1.4,16.5,895,19.8,23.3,150,31,Okhla,Groundwater,Moderate,Medium
2022,East Delhi,Geeta Colony,East,42752,10.43,9.28,89,88.4,7,349,0.59,2.1,16.8,813,18.8,23.3,133,31,Haiderpur,Yamuna,Good,Medium
2023,East Delhi,Geeta Colony,East,43310,9.51,8.5,89.4,89.5,7.6,471,0.5,1.1,17.2,706,18.2,22.2,131,31,Bhagirathi,Groundwater,Good,Medium
2024,East Delhi,Geeta Colony,East,43917,9.29,8.45,91,90.5,8,430,0.62,0.8,17.4,977,17.1,23.8,113,31,Wazirabad,Yamuna,Good,Medium
2025,East Delhi,Geeta Colony,East,44511,9.8,8.95,91.3,91.7,7.8,223,0.33,0.8,17.7,832,16.5,23.4,111,31,Dwarka,Groundwater,Good,Medium
2014,East Delhi,Krishna Nagar,East,30867,8.41,6.79,80.8,73.6,7.4,185,0.76,2,16.9,740,26.3,29.5,215,24,Bawana,Yamuna,Poor,High
2015,East Delhi,Krishna Nagar,East,31283,8.17,6.53,79.9,74.9,8.2,214,0.67,1.4,17.4,782,25.7,31.1,223,24,Bawana,Ganga Canal,Poor,High
2016,East Delhi,Krishna Nagar,East,31942,9,7.47,82.9,76.3,7.8,227,0.78,1.6,17.7,633,25.1,32.1,205,24,Bhagirathi,Groundwater,Poor,High
2017,East Delhi,Krishna Nagar,East,32571,8.35,6.9,82.6,77.7,7.5,264,0.7,2,18.1,740,24.1,31.5,208,24,Haiderpur,Groundwater,Poor,High
2018,East Delhi,Krishna Nagar,East,33274,8.58,7.43,86.6,78.4,7.2,302,0.47,0.8,18.6,548,23.1,28.5,169,24,Okhla,Groundwater,Poor,Medium
2019,East Delhi,Krishna Nagar,East,33689,9.05,7.74,85.6,79.7,7.8,353,0.74,1.2,18.8,780,22.3,26.8,185,24,Haiderpur,Ganga Canal,Poor,Medium
2020,East Delhi,Krishna Nagar,East,34296,10.03,8.9,88.7,80.7,7.3,459,0.41,2.2,19.2,916,21.4,27.4,153,24,Haiderpur,Ganga Canal,Moderate,Medium
2021,East Delhi,Krishna Nagar,East,34737,8.07,7.2,89.2,81.7,7,501,0.69,0.7,19.4,882,20.5,24.8,142,24,Chandrawal,Ganga Canal,Moderate,Medium
2022,East Delhi,Krishna Nagar,East,35211,8.39,7.62,90.9,82.6,8,276,0.78,1.2,19.9,833,19.8,22.8,142,24,Bawana,Yamuna,Moderate,Medium
2023,East Delhi,Krishna Nagar,East,35670,8.16,7.43,91.1,83.8,7.2,372,0.65,0.9,20.4,686,18.8,23.9,134,24,Dwarka,Groundwater,Moderate,Medium
2024,East Delhi,Krishna Nagar,East,36216,8.32,7.59,91.2,85,8.1,210,0.5,1.1,20.7,742,17.8,25.7,130,24,Wazirabad,Groundwater,Moderate,Medium
2025,East Delhi,Krishna Nagar,East,36693,8.74,8.08,92.4,86.4,7.6,346,0.2,2.4,21.1,954,16.8,21.2,103,24,Chandrawal,Groundwater,Moderate,Low
2014,East Delhi,Vivek Vihar,East,39636,8.98,7.28,81,83.3,7.1,512,0.77,1.7,14.4,728,25.2,30.7,217,55,Okhla,Ganga Canal,Moderate,High
2015,East Delhi,Vivek Vihar,East,40385,9.1,7.27,79.8,84.6,7.6,282,0.73,0.7,14.7,937,24.2,30.9,211,55,Chandrawal,Groundwater,Moderate,High
2016,East Delhi,Vivek Vihar,East,40995,8.54,6.97,81.6,85.9,8.1,338,0.48,1.7,15.1,822,23.4,31.1,202,55,Bhagirathi,Yamuna,Moderate,High
2017,East Delhi,Vivek Vihar,East,41766,9.6,7.96,82.9,86.8,8,436,0.58,2,15.6,913,22.8,27.3,197,55,Chandrawal,Ganga Canal,Moderate,High
2018,East Delhi,Vivek Vihar,East,42583,10.08,8.57,85,88,8,451,0.71,0.6,15.9,851,22.1,27.3,180,55,Wazirabad,Yamuna,Good,Medium
2019,East Delhi,Vivek Vihar,East,43320,10.89,9.28,85.2,88.9,7.9,229,0.61,1.2,16.1,798,21.4,28.4,181,55,Wazirabad,Ganga Canal,Good,Medium
2020,East Delhi,Vivek Vihar,East,43911,9.43,8.31,88.1,90.2,7.5,384,0.68,1.1,16.6,550,20.6,24.6,153,55,Bawana,Yamuna,Good,Medium
2021,East Delhi,Vivek Vihar,East,44671,10.6,9.44,89.1,90.9,7.6,214,0.71,1.8,16.8,725,19.9,25.8,148,55,Bhagirathi,Yamuna,Good,Medium
2022,East Delhi,Vivek Vihar,East,45463,10,9.1,91,91.6,8.1,243,0.74,1.9,17.3,565,18.9,26,135,55,Okhla,Ganga Canal,Good,Medium
2023,East Delhi,Vivek Vihar,East,46408,9.75,8.93,91.6,92.8,8,489,0.36,0.8,17.5,823,18.2,22.3,132,55,Wazirabad,Ganga Canal,Good,Medium
2024,East Delhi,Vivek Vihar,East,47278,12.43,11.59,93.2,93.4,7,291,0.58,0.6,17.7,798,17.4,21.7,110,55,Wazirabad,Ganga Canal,Good,Low
2025,East Delhi,Vivek Vihar,East,48124,11.45,10.46,91.3,94.7,8.2,354,0.52,0.8,18,980,16.8,22.6,129,55,Bawana,Yamuna,Good,Medium
2014,East Delhi,Karkardooma,East,34571,7.74,6.29,81.2,81.1,7.1,479,0.43,2.4,17.1,704,28.8,33.9,219,19,Okhla,Yamuna,Moderate,High
2015,East Delhi,Karkardooma,East,35263,10.23,8.24,80.5,81.7,7.5,496,0.41,0.7,17.3,687,28,33,232,19,Haiderpur,Yamuna,Moderate,High
2016,East Delhi,Karkardooma,East,35713,10.12,8.14,80.5,83,7.9,466,0.7,1,17.8,632,27,33.9,221,19,Wazirabad,Groundwater,Moderate,High
2017,East Delhi,Karkardooma,East,36399,9.71,7.95,81.9,84,7.3,455,0.41,0.7,18.2,640,25.9,32,222,19,Haiderpur,Ganga Canal,Moderate,High
2018,East Delhi,Karkardooma,East,36874,9.86,8.44,85.6,85.4,7.1,355,0.29,2,18.5,861,24.8,30.2,178,19,Wazirabad,Ganga Canal,Moderate,Medium
2019,East Delhi,Karkardooma,East,37609,9.2,8.03,87.3,86.8,7.4,287,0.59,2.4,18.8,561,24,27.9,174,19,Haiderpur,Groundwater,Moderate,Medium
2020,East Delhi,Karkardooma,East,38224,10.08,8.74,86.7,87.5,7.5,452,0.21,2.1,19,877,23.4,30.4,181,19,Bhagirathi,Yamuna,Moderate,Medium
2021,East Delhi,Karkardooma,East,38760,9.7,8.74,90.1,88.4,7,285,0.32,1.1,19.4,761,22.6,30,159,19,Wazirabad,Groundwater,Good,Medium
2022,East Delhi,Karkardooma,East,39565,10.96,9.79,89.4,89.7,7.5,266,0.6,1.9,19.8,880,21.7,25.9,155,19,Okhla,Ganga Canal,Good,Medium
2023,East Delhi,Karkardooma,East,40313,9.67,8.64,89.4,90.8,7.5,182,0.67,2.1,20.1,939,21.1,27.3,145,19,Okhla,Groundwater,Good,Medium
2024,East Delhi,Karkardooma,East,40812,8.63,8.1,93.9,91.5,8.1,202,0.58,2.3,20.3,430,20.6,24.9,115,19,Chandrawal,Ganga Canal,Good,Low
2025,East Delhi,Karkardooma,East,41309,10.71,9.81,91.6,92.2,7.1,345,0.67,2.3,20.6,528,19.5,27.1,134,19,Wazirabad,Yamuna,Good,Medium
2014,East Delhi,Pandav Nagar,East,30339,6.62,5.31,80.2,81.2,7.2,192,0.5,2.1,14.8,727,28.1,32.1,227,52,Okhla,Groundwater,Moderate,High
2015,East Delhi,Pandav Nagar,East,30926,8.58,7.13,83.1,82.3,7.1,231,0.36,1,15,518,27.3,31.8,207,52,Bhagirathi,Groundwater,Moderate,High
2016,East Delhi,Pandav Nagar,East,31475,7.67,6.23,81.2,83,7.6,289,0.47,1.2,15.5,510,26.7,32.8,228,52,Okhla,Yamuna,Moderate,High
2017,East Delhi,Pandav Nagar,East,32141,8.98,7.61,84.8,84.3,8,400,0.23,1.7,15.7,452,25.7,30.2,188,52,Haiderpur,Groundwater,Moderate,High
2018,East Delhi,Pandav Nagar,East,32569,9.23,7.95,86.2,85.2,8.1,515,0.66,2.1,16,459,25.2,33.1,193,52,Bawana,Ganga Canal,Moderate,Medium
2019,East Delhi,Pandav Nagar,East,33049,7.7,6.6,85.6,86.1,7.9,180,0.66,2.3,16.3,451,24.3,31.3,183,52,Dwarka,Yamuna,Moderate,Medium
2020,East Delhi,Pandav Nagar,East,33480,9.5,8.21,86.5,87.1,7.6,288,0.59,1.5,16.8,775,23.4,31.1,169,52,Bhagirathi,Groundwater,Moderate,Medium
2021,East Delhi,Pandav Nagar,East,34112,10.04,8.71,86.8,87.9,7.9,400,0.79,0.7,17.3,647,22.4,27.6,166,52,Okhla,Yamuna,Moderate,Medium
2022,East Delhi,Pandav Nagar,East,34756,9.49,8.6,90.6,88.8,7.3,508,0.78,1.7,17.5,684,21.2,27.2,137,52,Okhla,Yamuna,Good,Medium
2023,East Delhi,Pandav Nagar,East,35380,9.45,8.51,90,90,7.7,252,0.63,1.7,17.7,495,20.3,25.9,133,52,Haiderpur,Ganga Canal,Good,Medium
2024,East Delhi,Pandav Nagar,East,35867,7.76,7.08,91.2,91.3,7.4,415,0.7,0.4,18.2,848,19.7,26.9,124,52,Chandrawal,Yamuna,Good,Medium
2025,East Delhi,Pandav Nagar,East,36604,10,9.39,93.9,92.4,7.9,260,0.6,1,18.4,714,18.6,22.9,103,52,Wazirabad,Yamuna,Good,Low
2014,East Delhi,Dilshad Garden,East,38019,8.51,6.66,78.3,82.7,7.7,366,0.31,1.1,11.3,445,26.7,33.4,238,23,Haiderpur,Ganga Canal,Moderate,High
2015,East Delhi,Dilshad Garden,East,38538,9.93,8.21,82.7,83.5,7.2,512,0.33,1.1,11.7,599,25.9,30.7,204,23,Okhla,Ganga Canal,Moderate,High
2016,East Delhi,Dilshad Garden,East,39101,8.06,6.51,80.8,84.9,7.1,429,0.48,1.9,11.9,816,25.2,28.7,220,23,Wazirabad,Ganga Canal,Moderate,High
2017,East Delhi,Dilshad Garden,East,39757,8.68,7.16,82.5,85.5,7.3,420,0.4,0.4,12.2,880,24.6,30.2,207,23,Bhagirathi,Groundwater,Moderate,High
2018,East Delhi,Dilshad Garden,East,40319,10.09,8.76,86.8,86.2,7.2,447,0.72,0.8,12.5,815,23.5,26.9,170,23,Haiderpur,Ganga Canal,Moderate,Medium
2019,East Delhi,Dilshad Garden,East,41175,9.79,8.51,86.9,87.6,7.9,519,0.24,1.8,12.8,506,22.5,27.9,166,23,Haiderpur,Yamuna,Moderate,Medium
2020,East Delhi,Dilshad Garden,East,41878,10.42,9.22,88.4,88.7,7.9,299,0.6,0.6,13,455,21.5,26.4,165,23,Bhagirathi,Ganga Canal,Good,Medium
2021,East Delhi,Dilshad Garden,East,42690,11.26,9.89,87.9,90,7.3,410,0.22,1.3,13.3,616,21,24.7,148,23,Chandrawal,Ganga Canal,Good,Medium
2022,East Delhi,Dilshad Garden,East,43521,10.58,9.67,91.4,90.6,7.1,299,0.42,2.2,13.6,841,20.4,27.1,138,23,Okhla,Yamuna,Good,Medium
2023,East Delhi,Dilshad Garden,East,44313,9.63,8.87,92.1,91.5,7.5,196,0.41,1.8,13.9,636,19.4,22.5,124,23,Haiderpur,Yamuna,Good,Low
2024,East Delhi,Dilshad Garden,East,44950,11.6,10.51,90.6,92.6,7.3,250,0.54,0.9,14.3,694,18.5,23.6,132,23,Chandrawal,Groundwater,Good,Medium
2025,East Delhi,Dilshad Garden,East,45550,10.16,9.57,94.2,93.4,7.3,389,0.54,0.8,14.6,601,17.9,21.7,110,23,Okhla,Ganga Canal,Good,Low
2014,East Delhi,Anand Vihar,East,36911,7.86,6.37,81,77.7,7.8,519,0.51,0.6,11.1,609,31.4,35.6,238,19,Okhla,Groundwater,Poor,High
2015,East Delhi,Anand Vihar,East,37570,10.17,8.42,82.8,78.7,8,272,0.77,1.7,11.4,627,30.5,35.5,227,19,Dwarka,Ganga Canal,Poor,High
